Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
11/5/2022,5:00 PM,7:00 PM,Boston Bruins,1,Toronto Maple Leafs,2,Regulation
11/5/2022,5:00 PM,7:00 PM,Buffalo Sabres,3,Tampa Bay Lightning,5,Regulation
11/5/2022,5:00 PM,7:00 PM,Philadelphia Flyers,2,Ottawa Senators,1,Regulation
11/5/2022,5:00 PM,7:00 PM,Seattle Kraken,3,Pittsburgh Penguins,2,Regulation
11/5/2022,5:00 PM,7:00 PM,Vegas Golden Knights,6,Montreal Canadiens,4,Regulation
11/5/2022,8:00 PM,10:00 PM,Nashville Predators,4,Vancouver Canucks,3,SO
11/5/2022,8:00 PM,10:00 PM,New Jersey Devils,4,Calgary Flames,3,OT
11/5/2022,8:30 PM,10:30 PM,Anaheim Ducks,5,San Jose Sharks,4,SO
11/5/2022,8:30 PM,10:30 PM,Florida Panthers,4,Los Angeles Kings,5,Regulation
11/6/2022,4:00 PM,5:00 PM,Detroit Red Wings,3,New York Rangers,2,OT
11/6/2022,4:00 PM,5:00 PM,Toronto Maple Leafs,3,Carolina Hurricanes,1,Regulation
11/6/2022,8:00 PM,9:00 PM,Florida Panthers,5,Anaheim Ducks,3,Regulation
11/7/2022,6:00 PM,7:00 PM,Calgary Flames,3,New York Islanders,4,OT
11/7/2022,6:00 PM,7:00 PM,St. Louis Blues,1,Boston Bruins,3,Regulation
11/7/2022,7:00 PM,8:00 PM,Edmonton Oilers,4,Washington Capitals,5,Regulation
11/8/2022,6:00 PM,7:00 PM,Arizona Coyotes,4,Buffalo Sabres,1,Regulation
11/8/2022,6:00 PM,7:00 PM,Calgary Flames,2,New Jersey Devils,3,Regulation
11/8/2022,6:00 PM,7:00 PM,New York Islanders,4,New York Rangers,3,Regulation
11/8/2022,6:00 PM,7:00 PM,St. Louis Blues,1,Philadelphia Flyers,5,Regulation
11/8/2022,6:00 PM,7:00 PM,Vancouver Canucks,6,Ottawa Senators,4,Regulation
11/8/2022,6:00 PM,7:00 PM,Vegas Golden Knights,4,Toronto Maple Leafs,3,OT
11/8/2022,6:00 PM,7:00 PM,Montreal Canadiens,3,Detroit Red Wings,2,SO
11/8/2022,6:30 PM,7:30 PM,Edmonton Oilers,3,Tampa Bay Lightning,2,Regulation
11/8/2022,7:00 PM,8:00 PM,Dallas Stars,1,Winnipeg Jets,5,Regulation
11/8/2022,9:00 PM,10:00 PM,Nashville Predators,1,Seattle Kraken,5,Regulation
11/8/2022,9:30 PM,10:30 PM,Minnesota Wild,0,Los Angeles Kings,1,Regulation
11/9/2022,6:00 PM,7:00 PM,Carolina Hurricanes,0,Florida Panthers,3,Regulation
11/9/2022,6:30 PM,7:30 PM,Pittsburgh Penguins,4,Washington Capitals,1,Regulation
11/9/2022,6:30 PM,7:30 PM,Vancouver Canucks,2,Montreal Canadiens,5,Regulation
11/9/2022,9:00 PM,10:00 PM,Minnesota Wild,4,Anaheim Ducks,1,Regulation
11/10/2022,6:00 PM,7:00 PM,Calgary Flames,1,Boston Bruins,3,Regulation
11/10/2022,6:00 PM,7:00 PM,Edmonton Oilers,2,Carolina Hurricanes,7,Regulation
11/10/2022,6:00 PM,7:00 PM,Ottawa Senators,3,New Jersey Devils,4,OT
11/10/2022,6:00 PM,7:00 PM,Philadelphia Flyers,2,Columbus Blue Jackets,5,Regulation
11/10/2022,6:00 PM,7:00 PM,Vegas Golden Knights,7,Buffalo Sabres,4,Regulation
11/10/2022,6:00 PM,7:00 PM,New York Rangers,8,Detroit Red Wings,2,Regulation
11/10/2022,6:30 PM,7:30 PM,Arizona Coyotes,2,New York Islanders,0,Regulation
11/10/2022,7:00 PM,8:00 PM,San Jose Sharks,3,St. Louis Blues,5,Regulation
11/10/2022,8:00 PM,9:00 PM,Nashville Predators,3,Colorado Avalanche,5,Regulation
11/10/2022,9:30 PM,10:30 PM,Chicago Blackhawks,1,Los Angeles Kings,2,OT
11/11/2022,6:00 PM,7:00 PM,Pittsburgh Penguins,4,Toronto Maple Leafs,2,Regulation
11/11/2022,6:00 PM,7:00 PM,Tampa Bay Lightning,1,Washington Capitals,5,Regulation
11/11/2022,7:30 PM,8:30 PM,San Jose Sharks,5,Dallas Stars,4,Regulation
11/11/2022,9:00 PM,10:00 PM,Minnesota Wild,1,Seattle Kraken,0,Regulation
11/12/2022,12:00 PM,1:00 PM,Ottawa Senators,4,Philadelphia Flyers,1,Regulation
11/12/2022,3:00 PM,4:00 PM,Edmonton Oilers,4,Florida Panthers,2,Regulation
11/12/2022,6:00 PM,7:00 PM,Arizona Coyotes,2,New Jersey Devils,4,Regulation
11/12/2022,6:00 PM,7:00 PM,Boston Bruins,3,Buffalo Sabres,1,Regulation
11/12/2022,6:00 PM,7:00 PM,Pittsburgh Penguins,4,Montreal Canadiens,5,OT
11/12/2022,6:00 PM,7:00 PM,Vancouver Canucks,2,Toronto Maple Leafs,3,Regulation
11/12/2022,6:30 PM,7:30 PM,Columbus Blue Jackets,3,New York Islanders,4,OT
11/12/2022,7:00 PM,8:00 PM,New York Rangers,1,Nashville Predators,2,Regulation
11/12/2022,8:00 PM,9:00 PM,Carolina Hurricanes,1,Colorado Avalanche,4,Regulation
11/12/2022,9:00 PM,10:00 PM,Chicago Blackhawks,3,Anaheim Ducks,2,Regulation
11/12/2022,9:00 PM,10:00 PM,St. Louis Blues,3,Vegas Golden Knights,2,Regulation
11/12/2022,9:00 PM,10:00 PM,Winnipeg Jets,2,Calgary Flames,3,Regulation
11/12/2022,9:30 PM,10:30 PM,Detroit Red Wings,3,Los Angeles Kings,4,Regulation
11/13/2022,12:00 PM,1:00 PM,Dallas Stars,5,Philadelphia Flyers,1,Regulation
11/13/2022,5:00 PM,6:00 PM,San Jose Sharks,3,Minnesota Wild,2,SO
11/13/2022,5:00 PM,6:00 PM,Vancouver Canucks,2,Boston Bruins,5,Regulation
11/13/2022,6:00 PM,7:00 PM,Arizona Coyotes,1,New York Rangers,4,Regulation
11/13/2022,6:00 PM,7:00 PM,Washington Capitals,3,Tampa Bay Lightning,6,Regulation
11/13/2022,7:00 PM,8:00 PM,Winnipeg Jets,3,Seattle Kraken,2,OT
11/14/2022,4:30 PM,5:30 PM,New York Islanders,4,Ottawa Senators,2,Regulation
11/14/2022,7:30 PM,8:30 PM,Carolina Hurricanes,3,Chicago Blackhawks,0,Regulation
11/14/2022,7:30 PM,8:30 PM,Los Angeles Kings,5,Calgary Flames,6,Regulation
11/14/2022,8:00 PM,9:00 PM,St. Louis Blues,3,Colorado Avalanche,2,Regulation
11/15/2022,6:00 PM,7:00 PM,Dallas Stars,4,Tampa Bay Lightning,5,OT
11/15/2022,6:00 PM,7:00 PM,New Jersey Devils,5,Montreal Canadiens,1,Regulation
11/15/2022,6:00 PM,7:00 PM,Toronto Maple Leafs,5,Pittsburgh Penguins,2,Regulation
11/15/2022,6:00 PM,7:00 PM,Vancouver Canucks,5,Buffalo Sabres,4,Regulation
11/15/2022,6:00 PM,7:00 PM,Washington Capitals,2,Florida Panthers,5,Regulation
11/15/2022,6:30 PM,7:30 PM,Philadelphia Flyers,4,Columbus Blue Jackets,5,OT
11/15/2022,7:00 PM,8:00 PM,Minnesota Wild,1,Nashville Predators,2,Regulation
11/15/2022,9:00 PM,10:00 PM,Detroit Red Wings,2,Anaheim Ducks,3,OT
11/15/2022,9:00 PM,10:00 PM,San Jose Sharks,5,Vegas Golden Knights,2,Regulation
11/16/2022,6:00 PM,7:00 PM,Buffalo Sabres,1,Ottawa Senators,4,Regulation
11/16/2022,6:30 PM,7:30 PM,St. Louis Blues,5,Chicago Blackhawks,2,Regulation
11/16/2022,9:00 PM,10:00 PM,Los Angeles Kings,3,Edmonton Oilers,1,Regulation
11/17/2022,6:00 PM,7:00 PM,Calgary Flames,1,Tampa Bay Lightning,4,Regulation
11/17/2022,6:00 PM,7:00 PM,Colorado Avalanche,3,Carolina Hurricanes,2,OT
11/17/2022,6:00 PM,7:00 PM,Dallas Stars,6,Florida Panthers,4,Regulation
11/17/2022,6:00 PM,7:00 PM,Montreal Canadiens,4,Columbus Blue Jackets,6,Regulation
11/17/2022,6:00 PM,7:00 PM,New Jersey Devils,3,Toronto Maple Leafs,2,OT
11/17/2022,6:00 PM,7:00 PM,Philadelphia Flyers,1,Boston Bruins,4,Regulation
11/17/2022,7:00 PM,8:00 PM,Anaheim Ducks,2,Winnipeg Jets,3,Regulation
11/17/2022,7:00 PM,8:00 PM,New York Islanders,4,Nashville Predators,5,Regulation
11/17/2022,7:00 PM,8:00 PM,Pittsburgh Penguins,6,Minnesota Wild,4,Regulation
11/17/2022,7:00 PM,8:00 PM,Washington Capitals,4,St. Louis Blues,5,SO
11/17/2022,9:00 PM,10:00 PM,Arizona Coyotes,1,Vegas Golden Knights,4,Regulation
11/17/2022,9:00 PM,10:00 PM,New York Rangers,2,Seattle Kraken,3,OT
11/17/2022,9:30 PM,10:30 PM,Detroit Red Wings,7,San Jose Sharks,4,Regulation
11/18/2022,9:00 PM,10:00 PM,Los Angeles Kings,1,Vancouver Canucks,4,Regulation
11/19/2022,12:00 PM,1:00 PM,New Jersey Devils,5,Ottawa Senators,1,Regulation
11/19/2022,3:00 PM,4:00 PM,Calgary Flames,5,Florida Panthers,4,SO
11/19/2022,6:00 PM,7:00 PM,Buffalo Sabres,2,Toronto Maple Leafs,5,Regulation
11/19/2022,6:00 PM,7:00 PM,Chicago Blackhawks,1,Boston Bruins,6,Regulation
11/19/2022,6:00 PM,7:00 PM,Colorado Avalanche,4,Washington Capitals,0,Regulation
11/19/2022,6:00 PM,7:00 PM,Detroit Red Wings,6,Columbus Blue Jackets,1,Regulation
11/19/2022,6:00 PM,7:00 PM,Philadelphia Flyers,4,Montreal Canadiens,5,SO
11/19/2022,6:00 PM,7:00 PM,Pittsburgh Penguins,3,Winnipeg Jets,0,Regulation
11/19/2022,7:00 PM,8:00 PM,Anaheim Ducks,2,St. Louis Blues,6,Regulation
11/19/2022,7:00 PM,8:00 PM,Carolina Hurricanes,1,Minnesota Wild,2,OT
11/19/2022,7:00 PM,8:00 PM,New York Islanders,2,Dallas Stars,5,Regulation
